GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1000000US120730025102018,120730025102018,"Block 2018, Block Group 2, Census Tract 25.10, Leon County, Florida",23,11,1,0,1,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0,1,0,0,2,1,0
1000000US120730025102019,120730025102019,"Block 2019, Block Group 2, Census Tract 25.10, Leon County, Florida",68,34,7,5,1,2,0,0,0,0,3,10,2,2,0,1,1,0,0,0,0,0,0,0,0,34,0,2,3,1,0,0,0,0,8,6,3,2,2,2,1,0,1,0,2,0,0,1,0
1000000US120730025102020,120730025102020,"Block 2020, Block Group 2, Census Tract 25.10, Leon County, Florida",44,23,3,0,1,0,0,1,0,0,6,3,1,2,0,1,2,0,1,0,1,1,0,0,0,21,3,2,1,1,1,0,0,0,3,1,1,1,0,1,0,0,1,1,2,1,0,0,1
1000000US120730025102021,120730025102021,"Block 2021, Block Group 2, Census Tract 25.10, Leon County, Florida",20,6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,1,3,2,0,1,0,2,1,1,1,1,0,0,0,0,0
1000000US120730025102022,120730025102022,"Block 2022, Block Group 2, Census Tract 25.10, Leon County, Florida",151,72,8,16,7,2,6,2,2,3,11,5,1,2,1,3,1,1,0,0,0,1,0,0,0,79,9,15,7,2,1,1,2,5,14,6,5,3,3,2,3,1,0,0,0,0,0,0,0
1000000US120730025102023,120730025102023,"Block 2023, Block Group 2, Census Tract 25.10, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730025102024,120730025102024,"Block 2024, Block Group 2, Census Tract 25.10, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730025102025,120730025102025,"Block 2025, Block Group 2, Census Tract 25.10, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730025102026,120730025102026,"Block 2026, Block Group 2, Census Tract 25.10, Leon County, Florida",15,4,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,0,0,0,0,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0
1000000US120730025102027,120730025102027,"Block 2027, Block Group 2, Census Tract 25.10, Leon County, Florida",26,9,1,0,2,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,17,0,3,3,0,0,0,0,0,0,0,1,4,0,2,0,0,1,0,1,0,0,2,0
1000000US120730025102028,120730025102028,"Block 2028, Block Group 2, Census Tract 25.10, Leon County, Florida",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000000US120730025102029,120730025102029,"Block 2029, Block Group 2, Census Tract 25.10, Leon County, Florida",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1000000US120730025102030,120730025102030,"Block 2030, Block Group 2, Census Tract 25.10, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730025103000,120730025103000,"Block 3000, Block Group 3, Census Tract 25.10, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730025103001,120730025103001,"Block 3001, Block Group 3, Census Tract 25.10, Leon County, Florida",60,26,1,0,1,1,1,0,2,1,3,5,1,2,1,2,0,0,2,1,1,0,1,0,0,34,2,4,4,0,1,0,2,1,1,2,2,1,3,2,4,0,1,0,0,0,3,0,1
1000000US120730025103002,120730025103002,"Block 3002, Block Group 3, Census Tract 25.10, Leon County, Florida",457,216,24,21,17,7,8,2,1,5,6,8,18,17,21,18,15,7,7,2,3,5,1,1,2,241,20,18,18,9,4,2,3,4,16,11,20,21,28,20,18,6,5,3,5,4,0,3,3
1000000US120730025103003,120730025103003,"Block 3003, Block Group 3, Census Tract 25.10, Leon County, Florida",76,40,1,1,4,2,3,2,1,2,1,3,1,1,7,6,3,1,0,0,0,0,1,0,0,36,3,1,0,1,1,0,0,0,3,2,2,5,8,3,4,0,0,0,0,0,2,0,1
1000000US120730025103004,120730025103004,"Block 3004, Block Group 3, Census Tract 25.10, Leon County, Florida",15,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,0,0
1000000US120730025103005,120730025103005,"Block 3005, Block Group 3, Census Tract 25.10, Leon County, Florida",7,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1000000US120730025103006,120730025103006,"Block 3006, Block Group 3, Census Tract 25.10, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US120730025103007,120730025103007,"Block 3007, Block Group 3, Census Tract 25.10, Leon County, Florida",18,9,1,1,1,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0
